2020-10-04 13:47:25,520 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:26,092 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1.0, task = miss/falsealarm
2020-10-04 13:47:26,092 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1.0, task = correctreject/falsealarm
2020-10-04 13:47:27,837 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.1, task = hit/falsealarm
2020-10-04 13:47:28,420 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.1, task = miss/falsealarm
2020-10-04 13:47:28,420 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.1, task = correctreject/falsealarm
2020-10-04 13:47:30,149 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:30,738 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 1.0, task = miss/falsealarm
2020-10-04 13:47:30,738 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 1.0, task = correctreject/falsealarm
2020-10-04 13:47:32,476 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.1, task = hit/falsealarm
2020-10-04 13:47:33,045 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.1, task = miss/falsealarm
2020-10-04 13:47:33,045 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.1, task = correctreject/falsealarm
2020-10-04 13:47:34,796 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:35,369 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 1.0, task = miss/falsealarm
2020-10-04 13:47:35,369 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 1.0, task = correctreject/falsealarm
2020-10-04 13:47:37,118 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 0.1, task = hit/falsealarm
2020-10-04 13:47:37,707 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 0.1, task = miss/falsealarm
2020-10-04 13:47:37,707 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 0.1, task = correctreject/falsealarm
2020-10-04 13:47:39,450 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:40,029 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 1.0, task = miss/falsealarm
2020-10-04 13:47:40,029 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 1.0, task = correctreject/falsealarm
2020-10-04 13:47:41,778 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 0.1, task = hit/falsealarm
2020-10-04 13:47:42,356 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 0.1, task = miss/falsealarm
2020-10-04 13:47:42,356 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 0.1, task = correctreject/falsealarm
2020-10-04 13:47:44,091 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 16, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:44,689 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 16, C = 1.0, task = miss/falsealarm
2020-10-04 13:47:44,689 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 16, C = 1.0, task = correctreject/falsealarm
2020-10-04 13:47:46,456 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 16, C = 0.1, task = hit/falsealarm
2020-10-04 13:47:47,035 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 16, C = 0.1, task = miss/falsealarm
2020-10-04 13:47:47,035 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 16, C = 0.1, task = correctreject/falsealarm
2020-10-04 13:47:48,779 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 32, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:49,373 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 32, C = 1.0, task = miss/falsealarm
2020-10-04 13:47:49,373 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 32, C = 1.0, task = correctreject/falsealarm
2020-10-04 13:47:51,127 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 32, C = 0.1, task = hit/falsealarm
2020-10-04 13:47:51,725 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 32, C = 0.1, task = miss/falsealarm
2020-10-04 13:47:51,726 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 32, C = 0.1, task = correctreject/falsealarm
2020-10-04 13:47:53,467 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 64, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:54,043 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 64, C = 1.0, task = miss/falsealarm
2020-10-04 13:47:54,043 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 64, C = 1.0, task = correctreject/falsealarm
2020-10-04 13:47:55,783 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 64, C = 0.1, task = hit/falsealarm
2020-10-04 13:47:56,356 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 64, C = 0.1, task = miss/falsealarm
2020-10-04 13:47:56,356 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 64, C = 0.1, task = correctreject/falsealarm
2020-10-04 13:47:58,088 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 128, C = 1.0, task = hit/falsealarm
2020-10-04 13:47:58,674 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 128, C = 1.0, task = miss/falsealarm
