2020-10-28 15:27:48,419 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = hit/falsealarm
2020-10-28 15:27:53,192 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:27:53,193 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = correctreject/falsealarm
2020-10-28 15:27:54,130 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = hit/falsealarm
2020-10-28 15:27:56,833 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:27:56,833 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = correctreject/falsealarm
2020-10-28 15:29:21,874 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = hit/falsealarm
2020-10-28 15:29:24,681 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:29:24,681 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = correctreject/falsealarm
2020-10-28 15:30:00,163 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = hit/falsealarm
2020-10-28 15:30:05,135 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:30:05,136 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = correctreject/falsealarm
2020-10-28 15:30:52,950 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 15:30:56,455 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 15:30:56,456 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:31:13,104 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 15:31:16,836 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
